time,force,tip,base,indentation,R,A,k,Q,f,approach_vel,Ee,E_arms,T_arms
0.008855,-8.053120942938524e-10,-1.4112572422841547e-08,-1.3709999999903175e-08,1.4112572422841547e-08,,,,,,,,,
0.00886,-8.050165555535064e-10,-1.4122424653670162e-08,-1.3719999999903054e-08,1.4122424653670162e-08,,,,,,,,,
0.008865,-8.047209699185914e-10,-1.413227686105151e-08,-1.3729999999902933e-08,1.413227686105151e-08,,,,,,,,,
0.00887,-8.044253373903248e-10,-1.4142129044986166e-08,-1.3739999999902812e-08,1.4142129044986166e-08,,,,,,,,,
0.008875000000000001,-8.041296579699011e-10,-1.4151981205474735e-08,-1.3749999999902691e-08,1.4151981205474735e-08,,,,,,,,,
0.00888,-8.038339316585251e-10,-1.4161833342517827e-08,-1.375999999990257e-08,1.4161833342517827e-08,,,,,,,,,
0.008885,-8.035381584574461e-10,-1.4171685456116055e-08,-1.3769999999902449e-08,1.4171685456116055e-08,,,,,,,,,
0.00889,-8.032423383679033e-10,-1.4181537546270049e-08,-1.3779999999902328e-08,1.4181537546270049e-08,,,,,,,,,
0.008895,-8.029464713911722e-10,-1.4191389612980439e-08,-1.3789999999902207e-08,1.4191389612980439e-08,,,,,,,,,
0.0089,-8.026505575285311e-10,-1.420124165624787e-08,-1.3799999999902086e-08,1.420124165624787e-08,,,,,,,,,
0.008905,-8.023545967812959e-10,-1.4211093676072988e-08,-1.3809999999901965e-08,1.4211093676072988e-08,,,,,,,,,
0.00891,-8.0205858915076e-10,-1.4220945672456462e-08,-1.3819999999901844e-08,1.4220945672456462e-08,,,,,,,,,
0.008915000000000001,-8.017625346382968e-10,-1.4230797645398945e-08,-1.3829999999901723e-08,1.4230797645398945e-08,,,,,,,,,
0.00892,-8.014664332452042e-10,-1.4240649594901135e-08,-1.3839999999901602e-08,1.4240649594901135e-08,,,,,,,,,
0.008925,-8.011702849729106e-10,-1.4250501520963691e-08,-1.3849999999901481e-08,1.4250501520963691e-08,,,,,,,,,
0.00893,-8.008740898227632e-10,-1.4260353423587323e-08,-1.385999999990136e-08,1.4260353423587323e-08,,,,,,,,,
0.008935,-8.005778477961821e-10,-1.4270205302772722e-08,-1.3869999999901239e-08,1.4270205302772722e-08,,,,,,,,,
0.00894,-8.002815588945366e-10,-1.428005715852062e-08,-1.3879999999901118e-08,1.428005715852062e-08,,,,,,,,,
0.008945,-7.999852231194202e-10,-1.4289908990831664e-08,-1.3889999999900997e-08,1.4289908990831664e-08,,,,,,,,,
0.00895,-7.996888404719354e-10,-1.4299760799706734e-08,-1.3899999999900876e-08,1.4299760799706734e-08,,,,,,,,,
0.008955,-7.993924109541084e-10,-1.4309612585146312e-08,-1.3909999999900755e-08,1.4309612585146312e-08,,,,,,,,,
0.008960000000000001,-7.990959345666844e-10,-1.4319464347151475e-08,-1.3919999999900634e-08,1.4319464347151475e-08,,,,,,,,,
0.008965,-7.987994113120362e-10,-1.4329316085722573e-08,-1.3929999999900513e-08,1.4329316085722573e-08,,,,,,,,,
0.00897,-7.985028411907447e-10,-1.4339167800860795e-08,-1.3939999999900392e-08,1.4339167800860795e-08,,,,,,,,,
0.008975,-7.98206224205254e-10,-1.4349019492566483e-08,-1.3949999999900271e-08,1.4349019492566483e-08,,,,,,,,,
0.00898,-7.979095603562808e-10,-1.4358871160840798e-08,-1.395999999990015e-08,1.4358871160840798e-08,,,,,,,,,
0.008985,-7.976128496460947e-10,-1.436872280568419e-08,-1.3969999999900029e-08,1.436872280568419e-08,,,,,,,,,
0.00899,-7.973160920757277e-10,-1.437857442709771e-08,-1.3979999999899908e-08,1.437857442709771e-08,,,,,,,,,
0.008995,-7.970192876471471e-10,-1.4388426025081972e-08,-1.3989999999899787e-08,1.4388426025081972e-08,,,,,,,,,
0.009000000000000001,-7.967224363617663e-10,-1.4398277599637885e-08,-1.3999999999899666e-08,1.4398277599637885e-08,,,,,,,,,
0.009005,-7.964255382212292e-10,-1.4408129150766242e-08,-1.4009999999899545e-08,1.4408129150766242e-08,,,,,,,,,
0.00901,-7.961285932273421e-10,-1.4417980678467798e-08,-1.4019999999899424e-08,1.4417980678467798e-08,,,,,,,,,
0.009015,-7.958316013814336e-10,-1.4427832182743525e-08,-1.4029999999899303e-08,1.4427832182743525e-08,,,,,,,,,
0.00902,-7.955345626856405e-10,-1.4437683663594053e-08,-1.4039999999899182e-08,1.4437683663594053e-08,,,,,,,,,
0.009025,-7.952374771410859e-10,-1.444753512102048e-08,-1.4049999999899061e-08,1.444753512102048e-08,,,,,,,,,
0.00903,-7.949403447500882e-10,-1.4457386555023379e-08,-1.405999999989894e-08,1.4457386555023379e-08,,,,,,,,,
0.009035,-7.946431655137602e-10,-1.4467237965603886e-08,-1.4069999999898819e-08,1.4467237965603886e-08,,,,,,,,,
0.00904,-7.943459394344001e-10,-1.447708935276261e-08,-1.4079999999898698e-08,1.447708935276261e-08,,,,,,,,,
0.009045000000000001,-7.940486665132579e-10,-1.4486940716500657e-08,-1.4089999999898577e-08,1.4486940716500657e-08,,,,,,,,,
0.00905,-7.937513467525029e-10,-1.4496792056818718e-08,-1.4099999999898456e-08,1.4496792056818718e-08,,,,,,,,,
0.009055,-7.934539801536268e-10,-1.4506643373717821e-08,-1.4109999999898335e-08,1.4506643373717821e-08,,,,,,,,,
0.00906,-7.93156566718589e-10,-1.4516494667198781e-08,-1.4119999999898214e-08,1.4516494667198781e-08,,,,,,,,,
0.009065,-7.928591064491583e-10,-1.452634593726253e-08,-1.4129999999898093e-08,1.452634593726253e-08,,,,,,,,,
0.00907,-7.925615993470746e-10,-1.4536197183910009e-08,-1.4139999999897972e-08,1.4536197183910009e-08,,,,,,,,,
0.009075,-7.92264045414378e-10,-1.4546048407142053e-08,-1.414999999989785e-08,1.4546048407142053e-08,,,,,,,,,
0.00908,-7.919664446526349e-10,-1.4555899606959718e-08,-1.415999999989773e-08,1.4555899606959718e-08,,,,,,,,,
0.009085,-7.916687970640463e-10,-1.4565750783363786e-08,-1.4169999999897609e-08,1.4565750783363786e-08,,,,,,,,,
0.00909,-7.913711026501484e-10,-1.4575601936355357e-08,-1.4179999999897488e-08,1.4575601936355357e-08,,,,,,,,,
0.009095,-7.91073361413185e-10,-1.4585453065935223e-08,-1.4189999999897367e-08,1.4585453065935223e-08,,,,,,,,,
0.0091,-7.907755733547418e-10,-1.459530417210449e-08,-1.4199999999897246e-08,1.459530417210449e-08,,,,,,,,,
0.009105,-7.904777384770438e-10,-1.4605155254863986e-08,-1.4209999999897125e-08,1.4605155254863986e-08,,,,,,,,,
0.00911,-7.901798567817658e-10,-1.46150063142148e-08,-1.4219999999897004e-08,1.46150063142148e-08,,,,,,,,,
0.009115,-7.898819282710981e-10,-1.4624857350157806e-08,-1.4229999999896883e-08,1.4624857350157806e-08,,,,,,,,,
0.00912,-7.895839529468066e-10,-1.4634708362694083e-08,-1.4239999999896762e-08,1.4634708362694083e-08,,,,,,,,,
